uttid,actual_phoneme,mispronounced_phoneme,start_time,end_time,confidence,prosetrior_probability,max_logit,mean_logit_margin,logit_variance,combined_score,phoneme_accuracy,mispronounced
000010011,p,p,0.528,1.038,0.878,7.9060708230827e-05,1.947122573852539,-11.162083625793457,1.1079021692276,-10.647046900649325,,False
000010011,ə,ə,1.038,1.361,0.822,0.002722507808357477,3.4232115745544434,-9.283546447753906,0.8975656628608704,-8.27034306395094,,False
000010011,t,t,1.361,1.461,0.994,0.1330290585756302,6.999631881713867,-5.335428237915039,5.766750335693359,-4.33995607326867,,False
000010035,p,p,0.904,1.414,0.828,9.771852637641132e-05,0.40649980306625366,-10.34748363494873,0.4047165811061859,-10.013264361985959,,False
000010035,ə,ə,1.414,1.494,0.74,0.011038168333470821,3.8786354064941406,-7.662225246429443,2.125854253768921,-6.715476521616995,,False
000010035,t,t,1.494,1.916,0.858,0.00023946439614519477,2.87365460395813,-9.052330017089844,1.9900985956192017,-8.837762755341332,,False
000010053,p,p,0.282,0.792,0.961,1.3790097000310197e-05,1.4164944887161255,-12.691367149353027,0.12599746882915497,-12.241424954148957,,False
000010053,ə,ə,0.792,0.973,0.882,0.0017423443496227264,2.4363927841186523,-9.728796005249023,0.32405975461006165,-8.715914327239362,,False
000010053,t,t,0.973,1.565,0.893,0.03098008595407009,7.718472480773926,-9.077025413513184,4.886702060699463,-7.396240990307815,,False
000010063,p,p,0.305,0.815,0.957,2.5853227270999923e-05,0.45251762866973877,-12.040124893188477,0.19631563127040863,-11.597009960839017,,False
000010063,ə,ə,0.815,0.955,0.805,0.05531083792448044,6.709003925323486,-8.847152709960938,3.929723024368286,-7.0614428186191756,,False
000010063,t,t,1.21,1.72,0.941,0.05334160849452019,8.502972602844238,-7.921480655670166,2.998833417892456,-6.424348040523147,,False
000010069,p,p,0.102,0.612,1.0,2.2386026103049517e-05,1.4094018936157227,-13.262887954711914,0.15501730144023895,-12.496143656821255,,False
000010069,ə,ə,0.644,1.154,0.843,0.0003055228153243661,2.757570266723633,-10.066282272338867,0.7101005911827087,-9.474443420704734,,False
000010069,t,t,1.154,1.415,0.896,0.07352970540523529,9.26956558227539,-6.932314872741699,7.048868179321289,-5.635640150690819,,False
000010075,p,p,0.243,0.753,0.923,6.398391997208819e-05,0.5601516962051392,-12.316727638244629,0.06533035635948181,-11.518772973749373,,False
000010075,ə,ə,0.753,1.074,0.899,5.694961146218702e-05,-0.2524019777774811,-12.341957092285156,0.22563935816287994,-11.571373071753886,,False
000010075,t,t,1.074,1.546,0.918,0.02414986491203308,7.12800407409668,-8.620281219482422,4.1382036209106445,-7.151239801418834,,False
000010089,p,p,0.426,0.936,0.849,4.741487282444723e-05,1.422241449356079,-11.837934494018555,0.7208179831504822,-11.273526527550239,,False
000010089,ə,ə,0.936,1.47,0.817,0.00034835608676075935,2.3916821479797363,-10.813956260681152,0.7212758660316467,-9.958454991532696,,False
000010089,t,t,1.47,1.741,0.805,0.00012309114390518516,2.398677110671997,-9.726078987121582,0.33986061811447144,-9.509030931875579,,False
000010095,p,p,1.527,2.037,0.886,0.03780412673950195,9.080198287963867,-10.859078407287598,4.8726487159729,-8.58395598789516,,False
000010095,ə,ə,2.037,2.117,0.8,0.005458076484501362,3.811558723449707,-8.73993968963623,2.1927032470703125,-7.681155435798507,,False
000010095,t,t,2.117,2.298,0.992,0.00010473454312887043,1.2219651937484741,-10.339513778686523,0.0895826667547226,-9.986884115981384,,False
000010106,p,p,0.223,0.733,0.95,0.00023824235540814698,1.7831512689590454,-11.120126724243164,0.31076204776763916,-10.28675533768126,,False
000010106,ə,ə,0.733,0.975,0.691,0.021471301093697548,4.999690532684326,-7.339611530303955,2.5273733139038086,-6.290039491727581,,False
000010106,t,t,0.975,1.316,0.816,0.0008991770446300507,2.7553632259368896,-8.033625602722168,1.4569320678710938,-7.727747104248023,,False
000010113,p,p,1.736,2.246,0.851,0.03802095353603363,9.281840324401855,-9.914751052856445,6.35050630569458,-7.92121109571433,,False
000010113,ə,ə,2.246,2.347,0.994,0.0008845732663758099,2.0997190475463867,-9.438139915466309,0.644352912902832,-8.715819505065362,,False
000010113,t,t,2.347,2.549,0.9,0.0002367769047850743,2.9708898067474365,-8.989346504211426,0.8810207843780518,-8.797060210000511,,False
000010115,p,p,0.124,0.634,0.961,3.1478432447329396e-06,0.38972601294517517,-13.272916793823242,0.09789126366376877,-13.0916796627335,,False
000010115,ə,ə,0.634,0.695,0.996,0.0014428338035941124,3.3390896320343018,-9.351692199707031,2.214353561401367,-8.50852839380909,,False
000010115,t,t,0.695,1.326,0.0,0.0454685315489769,8.241796493530273,-8.069398880004883,6.06402587890625,-6.575799657986093,,False
000010121,p,p,0.142,0.652,1.0,4.977428943675477e-06,0.6615420579910278,-13.038143157958984,0.22402749955654144,-12.789879333495406,,False
000010121,ə,ə,0.652,0.732,0.748,0.007919231429696083,3.650514602661133,-7.99164342880249,1.7326085567474365,-7.045688736032613,,False
000010121,t,t,1.025,2.025,0.0,0.020162848755717278,8.486289978027344,-8.58537483215332,3.4764466285705566,-7.180936444037708,,False
000010122,p,p,0.124,0.634,0.959,4.228538728057174e-06,0.19684645533561707,-13.026926040649414,0.04914213344454765,-12.830944452068401,,False
000010122,ə,ə,0.634,1.106,0.781,0.0004797044675797224,2.7345051765441895,-9.467989921569824,0.7030880451202393,-8.920295045964572,,False
000010122,t,t,1.19,2.163,0.0,0.04101335629820824,8.771222114562988,-8.891555786132812,4.474582195281982,-7.182246300879839,,False
000010133,p,p,0.124,0.634,0.961,3.246517007937655e-05,2.2166078090667725,-12.781597137451172,0.23044389486312866,-12.047720816155815,,False
