0,0.0
1,44.37407700982649
2,91.5610950346158
3,141.73937073325675
4,195.09852453200017
5,251.84019718766436
6,312.17881177488425
7,376.3423839769033
8,444.573383741948
9,517.1296515613235
10,594.2853728317884
11,676.3321139842594
12,763.5799242943094
13,856.358507538126
14,955.0184679215481
15,1059.9326349904563
16,1171.4974725292755
17,1290.134576771718
18,1416.292269585413
19,1550.4472926509604
20,1693.1066090376025
21,1844.8093189835445
22,2006.1286971205438
23,2177.674358841299
24,2360.0945639961947
25,2554.078666624935
26,2760.359719980433
27,2979.717246689166
28,3212.9801845162688
29,3461.0300188671977
30,3724.804113863501
31,4005.299254580609
32,4303.575413833522
33,4620.7597577448405
34,4958.050905231921
35,5316.723457509462
36,5698.132814724254
37,6103.720297923787
38,6535.01859571434
39,6993.657556191134
40,7481.370346027789
41,7999.999999999999
